Question,Response,Emotion,Dialogue Act,Conversation Type
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",surprise,commissive,attitude & emotion
What are your plans for the weekend?,"If we push hard, we definitely can.",happiness,directive,politics
Why didn't you call me back last night?,It's challenging but rewarding.,disgust,directive,finance
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",fear,inform,relationship
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",happiness,commissive,attitude & emotion
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,surprise,inform,ordinary life
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",happiness,directive,tourism
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,anger,question,ordinary life
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",sadness,directive,culture & education
What's been bothering you lately?,It's challenging but rewarding.,happiness,commissive,ordinary life
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,anger,commissive,culture & education
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",anger,inform,attitude & emotion
What's been bothering you lately?,I've just had a lot on my mind recently.,happiness,question,relationship
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",fear,commissive,tourism
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,fear,directive,tourism
Can we talk about that project now?,"I'm thinking of a road trip, actually.",anger,question,culture & education
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",surprise,directive,health
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",anger,directive,work
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",anger,commissive,politics
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",sadness,directive,relationship
"I heard you got a new job, how is it going?",It's challenging but rewarding.,anger,directive,work
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",happiness,question,attitude & emotion
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",surprise,commissive,tourism
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",anger,commissive,finance
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",happiness,commissive,finance
What's been bothering you lately?,"I'm thinking of a road trip, actually.",fear,directive,tourism
"I heard you got a new job, how is it going?","Sure, let's go over the details.",sadness,question,health
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,work
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",sadness,commissive,work
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",happiness,commissive,tourism
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",happiness,directive,attitude & emotion
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",happiness,directive,school life
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",disgust,commissive,culture & education
Why didn't you call me back last night?,"Sure, let's go over the details.",fear,inform,attitude & emotion
What are your plans for the weekend?,"If we push hard, we definitely can.",anger,inform,tourism
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,happiness,inform,work
"I heard you got a new job, how is it going?","Sure, let's go over the details.",disgust,question,tourism
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,happiness,commissive,politics
Why didn't you call me back last night?,I'd say start with something like Spanish.,disgust,question,ordinary life
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",surprise,directive,work
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,surprise,inform,attitude & emotion
Why didn't you call me back last night?,"I'm really sorry, something came up.",anger,commissive,attitude & emotion
Have you ever been to Paris?,"Sure, let's go over the details.",sadness,directive,relationship
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",fear,inform,attitude & emotion
Have you ever been to Paris?,It's challenging but rewarding.,disgust,directive,school life
Have you ever been to Paris?,It's challenging but rewarding.,sadness,inform,culture & education
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,happiness,commissive,finance
What are your plans for the weekend?,I've just had a lot on my mind recently.,fear,directive,tourism
Can we talk about that project now?,"If we push hard, we definitely can.",sadness,commissive,relationship
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",anger,question,tourism
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",surprise,directive,relationship
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",fear,question,attitude & emotion
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",disgust,question,culture & education
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",happiness,commissive,school life
Can we talk about that project now?,"I'm really sorry, something came up.",anger,directive,relationship
